datetime,MsgNumber,StateAfter
2025-05-23 20:37:09,2803,0
2025-05-23 20:37:09,2803,1
2025-05-23 20:37:11,2803,0
2025-05-23 20:37:11,2803,1
2025-05-23 20:37:17,2803,0
2025-05-23 20:37:17,2803,1
2025-05-23 20:37:25,2803,0
2025-05-23 20:37:25,2803,1
2025-05-23 20:37:33,2803,0
2025-05-23 20:37:33,2803,1
2025-05-23 20:37:39,2803,0
2025-05-23 20:37:39,2803,1
2025-05-23 20:37:45,2803,0
2025-05-23 20:37:46,2803,1
2025-05-23 20:37:56,2803,0
2025-05-23 20:37:56,2803,1
2025-05-23 20:38:06,2803,0
2025-05-23 20:38:06,2803,1
2025-05-23 20:38:08,2803,0
2025-05-23 20:38:08,2803,1
2025-05-23 20:38:16,2803,0
2025-05-23 20:38:16,2803,1
2025-05-23 20:38:32,2803,0
2025-05-23 20:38:32,2803,1
2025-05-23 20:38:48,2803,0
2025-05-23 20:38:49,2803,1
2025-05-23 20:38:57,2803,0
2025-05-23 20:38:57,2803,1
2025-05-23 20:39:01,2803,0
2025-05-23 20:39:01,2803,1
2025-05-23 20:39:25,2803,0
2025-05-23 20:39:25,2803,1
2025-05-23 20:39:49,2803,0
2025-05-23 20:39:49,2803,1
2025-05-23 20:39:57,2803,0
2025-05-23 20:39:57,2803,1
2025-05-23 20:40:14,2803,0
2025-05-23 20:40:14,2803,1
2025-05-23 20:40:22,2803,0
2025-05-23 20:40:22,2803,1
2025-05-23 20:40:30,2803,0
2025-05-23 20:40:30,2803,1
2025-05-23 20:40:36,2803,0
2025-05-23 20:40:36,2803,1
2025-05-23 20:40:44,2803,0
2025-05-23 20:40:44,2803,1
2025-05-23 20:40:50,2803,0
2025-05-23 20:40:50,2803,1
2025-05-23 20:40:58,2803,0
2025-05-23 20:40:58,2803,1
2025-05-23 20:41:06,2803,0
2025-05-23 20:41:06,2803,1
2025-05-23 20:41:18,2803,0
2025-05-23 20:41:19,2803,1
2025-05-23 20:41:27,2803,0
2025-05-23 20:41:27,2803,1
2025-05-23 20:41:35,2803,0
2025-05-23 20:41:35,2803,1
2025-05-23 20:41:43,2803,0
2025-05-23 20:41:43,2803,1
2025-05-23 20:41:53,2803,0
2025-05-23 20:41:53,2803,1
2025-05-23 20:41:59,2803,0
2025-05-23 20:41:59,2803,1
2025-05-23 20:42:05,2803,0
2025-05-23 20:42:05,2803,1
2025-05-23 20:42:11,2803,0
2025-05-23 20:42:11,2803,1
2025-05-23 20:42:19,2803,0
2025-05-23 20:42:19,2803,1
2025-05-23 20:42:27,2803,0
2025-05-23 20:42:28,2803,1
2025-05-23 20:42:52,2803,0
2025-05-23 20:42:52,2803,1
2025-05-23 20:43:08,2803,0
2025-05-23 20:43:08,2803,1
2025-05-23 20:43:14,2803,0
2025-05-23 20:43:14,2803,1
2025-05-23 20:43:22,2803,0
2025-05-23 20:43:22,2803,1
2025-05-23 20:43:46,2803,0
2025-05-23 20:43:47,2803,1
2025-05-23 20:43:53,2803,0
2025-05-23 20:43:53,2803,1
2025-05-23 20:44:01,2803,0
2025-05-23 20:44:01,2803,1
2025-05-23 20:44:09,2803,0
2025-05-23 20:44:09,2803,1
2025-05-23 20:44:27,2803,0
2025-05-23 20:44:27,2803,1
2025-05-23 20:44:55,2803,0
2025-05-23 20:44:56,2803,1
2025-05-23 20:45:12,2803,0
2025-05-23 20:45:12,2803,1
2025-05-23 20:45:20,2803,0
2025-05-23 20:45:20,2803,1
2025-05-23 20:45:56,2803,0
2025-05-23 20:45:56,2803,1
2025-05-23 20:46:05,2803,0
2025-05-23 20:46:05,2803,1
2025-05-23 20:46:21,2803,0
2025-05-23 20:46:21,2803,1
2025-05-23 20:46:29,2803,0
2025-05-23 20:46:29,2803,1
2025-05-23 20:46:31,2803,0
2025-05-23 20:46:31,2803,1
2025-05-23 20:46:58,2803,0
2025-05-23 20:46:58,2803,1
2025-05-23 20:47:30,2803,0
2025-05-23 20:47:31,2803,1
2025-05-23 20:47:37,2803,0
2025-05-23 20:47:37,2803,1
2025-05-23 20:47:51,2803,0
2025-05-23 20:47:51,2803,1
2025-05-23 20:48:03,2803,0
2025-05-23 20:48:04,2803,1
2025-05-23 20:48:37,2803,0
2025-05-23 20:48:37,2803,1
2025-05-23 20:48:59,2803,0
2025-05-23 20:48:59,2803,1
2025-05-23 20:49:10,2803,0
2025-05-23 20:49:10,2803,1
2025-05-23 20:49:26,2803,0
2025-05-23 20:49:26,2803,1
2025-05-23 20:50:18,2803,0
2025-05-23 20:50:18,2803,1
2025-05-23 20:50:56,2803,0
2025-05-23 20:50:56,2803,1
2025-05-23 20:51:41,2803,0
2025-05-23 20:51:41,2803,1
2025-05-23 20:51:56,2803,0
2025-05-23 20:51:56,2803,1
2025-05-23 20:53:07,2803,0
2025-05-23 20:53:07,2803,1
2025-05-23 20:53:19,2803,0
2025-05-23 20:53:19,2803,1
2025-05-23 20:54:15,2803,0
2025-05-23 20:54:15,2803,1
2025-05-23 20:55:03,2803,0
2025-05-23 20:55:03,2803,1
2025-05-23 20:55:32,2803,0
2025-05-23 20:55:32,2803,1
2025-05-23 20:55:41,2803,0
