SeqNo,Date,UTC Time,datetime,[°C*10] LCC_CABINET_TEMP,[°C*10] LCC_CABINET_HUM,[%] LCC_UPS_BATT_LVL,[bar] HPU_SYSTEM_PRESSURE,[°C*10] HPU_OIL_TEMPERATURE,[rpm] HPU_MOTOR_SPEED,[W] HPU_MOTOR_POWER,[V] BATTERIES_VOLTAGE,[A*10] BATTERIES_CURRENT,[kWh] BATTERIES_CAPACITY,[%] BATTERIES_SOC,[A*10] CHARGER_CURRENT,FRONT_LINKS_UL_POS,FRONT_LINKS_UL_SPEED,FRONT_LINKS_UL_VALVE,FRONT_LINKS_UR_POS,FRONT_LINKS_UR_SPEED,FRONT_LINKS_UR_VALVE,FRONT_LINKS_LL_POS,FRONT_LINKS_LL_SPEED,FRONT_LINKS_LL_VALVE,FRONT_LINKS_LR_POS,FRONT_LINKS_LR_SPEED,FRONT_LINKS_LR_VALVE,[°*10] TUGGER ROTATION,[°/s*100] TUGGER ROTATION SPEED,[bar] TUGGER PRESSURE A,[bar] TUGGER PRESSURE B,[bar] TUGGER PRESSURE BRAKE,[%] TUGGER VALVE,[mm] COG LEFT POSITION,[mm*100] COG LEFT SPEED,[bar] COG LEFT BOTTOMSIDE PRESSURE,[bar] COG LEFT RODSIDE PRESSURE,[mm] COG RIGHT POSITION,[mm*100] COG RIGHT SPEED,[bar] COG RIGHT BOTTOMSIDE PRESSURE,[bar] COG RIGHT RODSIDE PRESSURE,[%] COG VALVE FEEDBACK
126035,2025-09-28,19:40:05.932,2025-09-28 19:40:05.932,224,521,100,0,239,0,0,735,122,105,99,147,523.055,0.1018644,0.3472222,522.63,0.101394,1.034433,577.205,0.09866707,-0.1446759,577.13,0.0,0.1157407,0,0,0,0,0,0,31,11,25,37,31,0,24,36,1
126036,2025-09-28,19:40:06.444,2025-09-28 19:40:06.444,224,521,100,0,239,0,0,735,122,105,99,147,523.055,0.0,0.4557292,522.635,0.0,0.9548611,577.205,0.09779,-0.03616898,577.13,0.0,0.2097801,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126037,2025-09-28,19:40:06.958,2025-09-28 19:40:06.958,224,521,100,0,239,0,0,735,122,105,99,147,523.055,0.0,1.251447,522.63,0.0,1.20081,577.205,0.0,-0.1374421,577.13,0.0,0.1302083,0,0,0,0,0,0,31,10,25,37,31,0,24,36,1
126038,2025-09-28,19:40:07.470,2025-09-28 19:40:07.470,224,521,100,0,239,0,0,735,123,105,99,147,523.055,0.0,0.3689236,522.63,0.100468,0.9476273,577.205,0.0,-0.01446759,577.13,0.09608132,0.1663773,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126039,2025-09-28,19:40:08.056,2025-09-28 19:40:08.056,224,521,100,0,239,0,0,735,123,105,99,147,523.05,0.0,0.390625,522.63,0.101394,1.019965,577.21,0.0,-0.1374421,577.13,0.0,0.07957176,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126040,2025-09-28,19:40:08.569,2025-09-28 19:40:08.569,224,521,100,0,239,0,0,735,122,105,99,147,523.05,0.09955981,0.462963,522.635,0.0,0.9548611,577.205,0.0,-0.007233796,577.13,0.0,0.1736111,0,0,0,0,0,0,31,10,25,37,31,0,24,36,1
126041,2025-09-28,19:40:09.085,2025-09-28 19:40:09.085,224,521,100,0,239,0,0,735,122,105,99,147,523.05,0.0,0.3110532,522.635,0.0,1.041667,577.205,0.0,-0.1085069,577.13,0.0,0.2893519,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126042,2025-09-28,19:40:09.597,2025-09-28 19:40:09.597,224,521,100,0,239,0,0,735,122,105,99,147,523.055,0.09911133,1.265914,522.635,0.0,1.128472,577.205,0.0,-0.03616898,577.135,-0.2009371,0.1953125,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126043,2025-09-28,19:40:10.112,2025-09-28 19:40:10.112,224,521,100,0,239,0,0,735,122,105,99,147,523.055,0.10093,0.3616898,522.635,-0.09778887,1.034433,577.205,-0.1164165,-0.1446759,577.13,-0.1116884,0.1446759,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126044,2025-09-28,19:40:10.625,2025-09-28 19:40:10.625,224,521,100,0,239,0,0,735,122,105,99,147,523.055,0.0,0.4412616,522.63,0.100929,0.9548611,577.205,0.0,-0.02893518,577.13,0.0,0.2459491,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126045,2025-09-28,19:40:11.140,2025-09-28 19:40:11.140,224,521,100,0,239,0,0,735,122,105,99,147,523.05,0.1000124,0.3833912,522.635,0.0,1.041667,577.205,0.0,-0.1229745,577.13,0.0,0.1012731,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126046,2025-09-28,19:40:11.653,2025-09-28 19:40:11.653,224,521,100,0,239,0,0,735,122,105,99,147,523.05,0.09735708,1.323785,522.635,0.0,1.135706,577.21,0.0,-0.02893518,577.13,0.0,0.2314815,0,0,0,0,0,0,31,11,25,37,31,0,24,36,1
126047,2025-09-28,19:40:12.167,2025-09-28 19:40:12.167,224,521,100,0,239,0,0,735,122,105,99,147,523.05,0.09778989,0.3689236,522.63,0.100929,1.034433,577.205,0.0,-0.1229745,577.13,0.0,0.1085069,0,0,0,0,0,0,31,0,25,37,31,10,24,36,1
126048,2025-09-28,19:40:12.679,2025-09-28 19:40:12.679,224,521,100,0,239,0,0,735,122,105,99,147,523.05,0.0,0.4484954,522.635,0.0,0.9548611,577.205,0.0,-0.02893518,577.13,0.0,0.1880787,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
